web-scraper-order,web-scraper-start-url,beer,beer-href,name,price,alcohol,description,size,brewer,country,pagination,pagination-href,category,retail_price,Description2,brewer2
"1605382723-531","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Muskoka Winter Beard Double Chocolate Cranberry Stout

          $13.79
          222315
          750 ml



      Heavy







      Flavoured","https://www.liquormarts.ca/product/muskoka-winter-beard-double-chocolate-cranberry-stout/750-ml","Muskoka Winter Beard Double Chocolate Cranberry Stout","$13.79","8.00%","Our Double Chocolate Cranberry Stout is rich and sturdy with roasted dark malts, real cocoa, 70% dark chocolate and freshly harvested local cranberries.","Item # 222315       | UPC 628669050206 | 750 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Ale > Flavoured","null","IBU: 20","Muskoka Winter Beard Double Chocolate Cranberry Stout"
"1605382557-480","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Lucky Lager

          $20.79
          910208
          12 x 355 ml



      Light







      Malty","https://www.liquormarts.ca/product/lucky-lager/12-x-355-ml","Lucky Lager","$20.79","5.00%","null","Item # 910208       | UPC 062067355240 | 12 x 355 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Lager > Pale","null","Lucky Lager was introduced to beer drinkers in 1934. The name Lucky was selected from a name-search contest. Fully fermented, Lucky Lager used select ingredients and hops to deliver a remarkably clean, crisp-tasting beer.","Labatt Lucky"
"1605382478-455","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Lake of the Woods Brewing - Lakeside Kolsch

          $3.49
          22832
          473 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/lake-woods-brewing-lakeside-kolsch/473-ml","Lake of the Woods Brewing - Lakeside Kolsch","$3.49","5.00%","Lakeside is brewed using an old-world technique which produces a crisp, clean ale with lager characteristics. It is a delicate and subtle beer with a hint of malt and fruit in the nose.","Item # 22832       | UPC 805057000160 | 473 ml","null","Canada","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Ale > Other Ales","null","6 IBU","Lake of the Woods Brewing Co."
"1605381666-198","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Bridge Brewing The Grinch Winter Seasonal Ale

          $8.27
          21187
          650 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/bridge-brewing-grinch-winter-seasonal-ale/650-ml","Bridge Brewing The Grinch Winter Seasonal Ale","$8.27","6.50%","Pours a dark brown with a light hint of red. A rich winter warmer with notes of caramel, treacle, and a hint of Granny's plum pudding. Ho-ho-hops from New Zealand add notes of pine, and soft Christmas spices.","Item # 21187       | UPC 641061556497 | 650 ml","null","Canada","6","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=5","Beer > Ale > Dark","null","30 IBU","Bridge Brewing Company"
"1605382555-479","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Lowenbrau Original

          $2.99
          17818
          473 ml



      Light







      Hoppy","https://www.liquormarts.ca/product/lowenbrau-original/473-ml","Lowenbrau Original","$2.99","5.20%","null","Item # 17818       | UPC 062067860539 | 473 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Lager > Pale","null","Löwenbräu Original is a light, bottom-fermented beer with original high wort.  It is magnificently refreshing, slightly dry, spicy, with a trace of malt and delicately bitter.  Brewed according to the Purity Law by using nothing else but hops, malt, yeast and water.","Lowenbrau Original"
"1605382060-329","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","FERNIE BREWING GHOSTRIDER PUMPKIN BROWN ALE

          $7.49
          31078
          650 ml



      Balanced







      Flavoured","https://www.liquormarts.ca/product/fernie-brewing-ghostrider-pumpkin-brown-ale/650-ml","FERNIE BREWING GHOSTRIDER PUMPKIN BROWN ALE","$7.49","5.00%","Our classic Brown Ale is  brewed with pumpkin, spice and all things nice. This annual Pumpkin Brown Ale returns with an exciting new name, Ghostrider Pumpkin Brown Ale - an ode to the legendary shadow that watches over Fernie.

It is unfiltered to keep the real pumpkin taste alive.","Item # 31078       | UPC 626990110330 | 650 ml","null","Canada","5","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=4","Beer > Ale > Flavoured","null","IBU: 13","Fernie Brewing Company"
"1605381561-153","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","BARN HAMMER BREWING SATURDAY NIGHT LUMBERJACK DOUBLE IPA

          $4.10
          25696
          473 ml


      Delivery








      Heavy







      Hoppy","https://www.liquormarts.ca/product/barn-hammer-brewing-saturday-night-lumberjack-double-ipa/473-ml","BARN HAMMER BREWING SATURDAY NIGHT LUMBERJACK DOUBLE IPA","$4.10","7.50%","Strong and aggressively bittered but balanced with a hefty malt backbone. Plenty of late-kettle and dry hops gives a pronounced citrus and floral aroma.","Item # 25696       | UPC 628451827764 | 473 ml","Barn Hammer Brewing Company","Canada","7","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=6","Beer > Ale > Pale","null","IBU 75","null"
"1605381546-146","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Barn Hammer Brewing 66 New England Style IPA

          $4.33
          26184
          473 ml


      Delivery








      Heavy







      Hoppy","https://www.liquormarts.ca/product/barn-hammer-brewing-66-new-england-style-ipa/473-ml","Barn Hammer Brewing 66 New England Style IPA","$4.33","6.60%","A hazy Northeast style IPA, brewed with wheat and oats, loaded with juicy hops.","Item # 26184       | UPC 628451827795 | 473 ml","Barn Hammer Brewing Company","Canada","7","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=6","Beer > Ale > Pale","null","20 IBU","null"
"1605382290-397","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Half Pints Little Scrapper IPA

          $3.95
          30128
          473 ml


      Delivery








      Balanced







      Hoppy","https://www.liquormarts.ca/product/half-pints-little-scrapper-ipa/473-ml","Half Pints Little Scrapper IPA","$3.95","6.00%","This west-coast style IPA is heartlily hopped with both pelletized and whole cone hops.  Aromas of citrus and pine and are backed by a middleweight malt body. Try it with a Curry or Fish & Chips. Served best at 4C.","Item # 30128       | UPC 693314012663 | 473 ml","null","Canada","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Ale > Pale","null","50 IBU","Half Pints Brewing Company"
"1605382708-525","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","MUSKOKA BREWERY TREAD LIGHTLY LO-CAL LAGER

          $3.29
          34678
          473 ml



      Light







      Hoppy","https://www.liquormarts.ca/product/muskoka-brewery-tread-lightly-lo-cal-lager/473-ml","MUSKOKA BREWERY TREAD LIGHTLY LO-CAL LAGER","$3.29","4.00%","Like all of our beer, Tread Lightly is proudly crafted in Muskoka with all natural ingredients.","Item # 34678       | UPC 628669091971 | 473 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Lager > Light","null","17 IBU","Muskoka Brewery Inc."
"1605382418-435","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Kona Brewing Hanalei Island IPA

          $3.00
          25310
          355 ml



      Light







      Hoppy","https://www.liquormarts.ca/product/kona-brewing-hanalei-island-ipa/355-ml","Kona Brewing Hanalei Island IPA","$3.00","4.40%","This easy-drinking island-inspired IPA is Kona Brewing Co.’ s homage to Kauai, “ the most beautiful place on earth.”  Passionfruit, orange and guava balance the subtle bitterness of aromatic Azacca and Galaxy hops to deliver a coppery laidback, session-style ale bright with tropical flavors.","Item # 25310       | UPC 796030814914 | 355 ml","null","United States","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Ale > Pale","null","IBU 32","Kona Brewing Company"
"1605382812-561","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","ONE GREAT CITY BREWING BELGIAN ESPRIT

          $3.49
          31779
          473 ml



      Balanced







      Flavoured","https://www.liquormarts.ca/product/one-great-city-brewing-belgian-esprit/473-ml","ONE GREAT CITY BREWING BELGIAN ESPRIT","$3.49","4.50%","We have developed a subtle gruit mixing orange and coriander with a touch of chamomile for an unparalleled flavour.","Item # 31779       | UPC 628250026122 | 473 ml","null","Canada","2","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=1","Beer > Ale > Wheat","null","15 IBU","One Great City"
"1605382200-365","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Goose Island IPA

          $3.48
          19217
          473 ml



      Balanced







      Hoppy","https://www.liquormarts.ca/product/goose-island-ipa/473-ml","Goose Island IPA","$3.48","5.90%","Recognized as among the world's finest, Goose Island's India Pale Ale has a spicy hop aroma and an inviting fruity taste. This exceptional English-style India Pale Ale is one you will not soon forget.","Item # 19217       | UPC 062067312359 | 473 ml","Goose Island Brewers","Canada","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Ale > Pale","null","55 IBU","null"
"1605381703-210","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Bud Light Chelada

          $14.99
          757715
          6 x 355 ml



      Light







      Flavoured","https://www.liquormarts.ca/product/bud-light-chelada/6-x-355-ml","Bud Light Chelada","$14.99","4.00%","null","Item # 757715       | UPC 018200002304 | 6 x 355 ml","Bud Light","United States","6","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=5","Beer > Lager > Flavoured","null","Bud Light with the refreshing taste of Clamato, spices and a hint of lime.","null"
"1605383311-723","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","VANCOUVER ISLAND BREWING BROKEN ISLANDS HAZY IPA

          $3.39
          34251
          473 ml



      Balanced







      Hoppy","https://www.liquormarts.ca/product/vancouver-island-brewing-broken-islands-hazy-ipa/473-ml","VANCOUVER ISLAND BREWING BROKEN ISLANDS HAZY IPA","$3.39","6.00%","This hazy IPA is anything but expected. There’ s some something new to be discovered around every corner: bold citrus aromas and flavours lead to a lingering, juicy finish.","Item # 34251       | UPC 620097003595 | 473 ml","Vancouver Island Brewing","Canada","","","Beer > Ale > Pale","null","IBU: 57","null"
"1605383206-688","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Torque Brewing Blonde Ale

          $2.99
          29244
          473 ml


      Delivery








      Balanced







      Malty","https://www.liquormarts.ca/product/torque-brewing-blonde-ale/473-ml","Torque Brewing Blonde Ale","$2.99","5.00%","A classic blonde ale with light malt notes with citrus hop flavours and aromas and a clean crisp finish.","Item # 29244       | UPC 628055741497 | 473 ml","Torque Brewing Co","Canada","","","Beer > Ale > Other Ales","null","22 IBU","null"
"1605383315-724","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Vancouver Island Brewing Nanaimo Bar Porter

          $3.99
          35646
          473 ml



      Balanced







      Flavoured","https://www.liquormarts.ca/product/vancouver-island-brewing-nanaimo-bar-porter/473-ml","Vancouver Island Brewing Nanaimo Bar Porter","$3.99","6.20%","A decadent treat featuring flavours of graham cracker, chocolate, coconut, and vanilla, this dessert porter is an homage to the world famous Nanaimo Bar.","Item # 35646       | UPC 0620097003427 | 473 ml","Vancouver Island Brewing","Canada","","","Beer > Ale > Porter","null","30 IBU","null"
"1605382778-550","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Nonsuch Brewing Old Ale X

          $14.00
          24920
          750 ml


      New Arrivals








      Heavy







      Malty","https://www.liquormarts.ca/product/nonsuch-brewing-old-ale-x/750-ml","Nonsuch Brewing Old Ale X","$14.00","10.00%","A rich and dark delicacy","Item # 24920       | UPC 628110283023 | 750 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Ale > Flavoured","null","IBU 35","Nonsuch Brewing Co"
"1605381609-172","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Big Wheel Deluxe Amber Ale

          $2.69
          15028
          473 ml


      Limited Time Offer








      Balanced







      Malty","https://www.liquormarts.ca/product/big-wheel-deluxe-amber-ale/473-ml","Big Wheel Deluxe Amber Ale","REG. $2.99
          $2.69
          SAVE $0.30","5.00%","null","Item # 15028       | UPC 626824900021 | 473 ml","null","Canada","6","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=5","Beer > Ale > Other Ales","REG. $2.99","Our award winning amber was created out of a desire for the perfectly balanced beer combining all the qualities of a rich traditional pale ale with the drinkability of a modern lager. Big Wheel Deluxe Amber is brewed with a blend of imported Pale and Crystal malts for a bright amber colour and sweet malt charater then dry hopped with a blend of UK hops to achieve a perfect balance of rounded malt and hop taste. Take one for a ride and discover the pleasures of a perfectly balanced beer.","Big Wheel Deluxe Amber Ale"
"1605383013-625","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","San Miguel Red Horse Strong Beer

          $3.10
          22169
          500 ml


      Delivery








      Balanced







      Malty","https://www.liquormarts.ca/product/san-miguel-red-horse-strong-beer/500-ml","San Miguel Red Horse Strong Beer","$3.10","8.00%","null","Item # 22169       | UPC 8934772225076 | 500 ml","null","Philippines","2","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=1","Beer > Lager > Other Lagers","null","A strong, high alcohol beer. It is a deeply hued lager with a distinctive, sweetish taste, balanced by a smooth bitterness.","San Miguel Brewery"
"1605382528-470","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","LITTLE BROWN JUG BELGIAN IPA

          $3.35
          31535
          473 ml


      Limited Time Offer







      Delivery








      Balanced







      Hoppy","https://www.liquormarts.ca/product/little-brown-jug-belgian-ipa/473-ml","LITTLE BROWN JUG BELGIAN IPA","REG. $3.75
          $3.35
          SAVE $0.40","6.50%","Fruity and Spicy; golden in colour; citrus and tropical fruit aromas; dry finish with balanced refreshing body. Hopped using new world hops in our belgian style.","Item # 31535       | UPC 628250203110 | 473 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Ale > Belgian","REG. $3.75","IBU 40","Little Brown Jug"
"1605382294-398","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Half Pints Little Scrapper IPA

          $14.50
          6995
          6 x 341 ml


      Delivery








      Balanced







      Hoppy","https://www.liquormarts.ca/product/half-pints-little-scrapper-ipa/6-x-341-ml","Half Pints Little Scrapper IPA","$14.50","6.00%","null","Item # 6995       | UPC 693314010362 | 6 x 341 ml","null","Canada","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Ale > Pale","null","To admit that the brewers at Half Pints are hopheads is an understatement. This India Pale Ale is unabashedly hoppy, with a grapefruit-like aroma due to a large addition of hops directly to the final tank (a process called “dry hopping”). A firm, toasted malt presence forms the background for all these hops lending balance so it’s not just a one-note symphony. Try it with a Curry or Fish & Chips. Serve in a glass at 4°C.","Half Pints Little Scrapper IPA"
"1605381651-191","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Brazen Hall Brewing Company - Black Ink Dark Ale

          $3.19
          33753
          355 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/brazen-hall-brewing-company-black-ink-dark-ale/355-ml","Brazen Hall Brewing Company - Black Ink Dark Ale","$3.19","5.00%","Black ale brewed with Midnight wheat, hopped with Bravo, Mandarina Bavaria and Citra, fermented on our house kveik. Fruity flavours on a subtle dark malt base.","Item # 33753       | UPC 843738031232 | 355 ml","Brazen Hall Brewery","Canada","6","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=5","Beer > Ale > Dark","null","35 IBU","null"
"1605383228-696","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Torque Brewing What the Helles Lager

          $22.19
          21572
          12 x 355 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/torque-brewing-what-helles-lager/12-x-355-ml","Torque Brewing What the Helles Lager","$22.19","5.00%","An easy drinking traditional Munich lager with malt overtones.","Item # 21572       | UPC 628055741053 | 12 x 355 ml","Torque Brewing Co","Canada","","","Beer > Lager > Other Lagers","null","20 IBU","null"
"1605382854-575","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Oxus Brewing Silicon Wit

          $3.49
          27066
          473 ml



      Balanced







      Spicy","https://www.liquormarts.ca/product/oxus-brewing-silicon-wit/473-ml","Oxus Brewing Silicon Wit","$3.49","5.20%","Refreshing Belgian-style wheat beer with moderate sweetness, low bitterness and aromas of citrus and pepper. It is made using European Pilsener malt, Canadian wheat and oat,","Item # 27066       | UPC 752830859364 | 473 ml","null","Canada","2","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=1","Beer > Ale > Belgian","null","15 IBU","Oxus Brewing Company"
"1605382815-562","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","One Great City Brewing Co. - Wallflower Apricot Saison

          $10.50
          33981
          500 ml



      Light







      Flavoured","https://www.liquormarts.ca/product/one-great-city-brewing-co-wallflower-apricot-saison/500-ml","One Great City Brewing Co. - Wallflower Apricot Saison","$10.50","6.00%","Bright notes of apricot and pear balance against an earthy pepper and spice. The high carbonation encourages a dry and crisp finish, leaving you refreshed - yet wanting more.","Item # 33981       | UPC 628250026177 | 500 ml","null","Canada","2","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=1","Beer > Ale > Other Ales","null","19 IBU","One Great City"
"1605381684-205","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Bud Light

          $23.98
          908624
          12 x 341 ml



      Light







      Malty","https://www.liquormarts.ca/product/bud-light/12-x-341-ml","Bud Light","$23.98","4.00%","null","Item # 908624       | UPC 062067567025 | 12 x 341 ml","Bud Light","Canada","6","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=5","Beer > Lager > Light","null","The world's #1 selling light beer, Bud Light is renowned for it's crisp, clean, delicate flavor. It matches well with North American style food, especially spicy flavors or BBQ.","Bud Light"
"1605382306-402","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Half Pints Tasters Pack

          $26.70
          8441
          12 x 341 ml


      Delivery","https://www.liquormarts.ca/product/half-pints-tasters-pack/12-x-341-ml","Half Pints Tasters Pack","$26.70","5.00%","Our St. James Pale Ale is a medium bodied blonde brew that’ s soft on the palette with a malty finish. Restraint is shown by our hop loving brewers as they add four additions to achieve low bitterness and a floral finish.","Item # 8441       | UPC 693314011567 | 12 x 341 ml","null","Canada","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Assortment / Taster Pack > Domestic","null","The Half Pints Tasting Pack contains 3 of each of the following: St. James Pale Ale, Bulldog Amber Ale, Little Scrapper IPA and Stir Stick Stout","Half Pints Tasters Pack"
"1605382794-556","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","O'Doul's Amber De-alcoholized Beer

          $11.99
          900532
          12 x 355 ml



      Light







      Malty","https://www.liquormarts.ca/product/odouls-amber-de-alcoholized-beer/12-x-355-ml","O'Doul's Amber De-alcoholized Beer","$11.99","0.50%","null","Item # 900532       | UPC 062067469244 | 12 x 355 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Non-Alcoholic > Domestic","null","A premium malt beverage, rich and flavourful with no alcohol.","Labatt O'douls"
"1605382357-415","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Holsten Premium

          $2.65
          288365
          500 ml


      Delivery








      Light







      Malty","https://www.liquormarts.ca/product/holsten-premium/500-ml","Holsten Premium","$2.65","5.00%","null","Item # 288365       | UPC 40678924 | 500 ml","null","Germany","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Lager > Pale","null","Holsten Premium is a 5% alcohol-by-volume lager brewed in accordance with the German Purity Law. Medium gold color; light hop & cooked grain aromas with underlying pear notes; clean finish","Holsten Premium"
"1605383424-757","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","YUKON BREWING PUMPKIN ALE

          $3.90
          35769
          473 ml



      Balanced







      Flavoured","https://www.liquormarts.ca/product/yukon-brewing-pumpkin-ale/473-ml","YUKON BREWING PUMPKIN ALE","$3.90","6.70%","Pours a bright copper with a billowing head and abundant cooking spices in the nose. The pumpkin and spice flavours are assertive but still let the flavour of the underlying beer come through, all bolstered by a sturdy yet creamy body. Cinnamon, ginger and nutmeg dance across the palette long after the swallow.","Item # 35769       | UPC 627619421615 | 473 ml","null","Canada","","","Beer > Ale > Flavoured","null","20 IBU","Yukon Brewing"
"1605381876-276","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","DEVIL MAY CARE PERFEKTENSCHLAG LAGER

          $3.79
          31687
          473 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/devil-may-care-perfektenschlag-lager/473-ml","DEVIL MAY CARE PERFEKTENSCHLAG LAGER","$3.79","5.50%","A lagered Kellerbier in traditional German style. Amber in colour with smooth maltiness, perfect for Oktoberfest.","Item # 31687       | UPC 628504355114 | 473 ml","Torque Brewing Co","Canada","5","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=4","Beer > Lager > Other Lagers","null","26 IBU","null"
"1605382763-544","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","NONSUCH BREWING DUNKEL WEIZEN

          $4.10
          35814
          473 ml



      Light







      Malty","https://www.liquormarts.ca/product/nonsuch-brewing-dunkel-weizen/473-ml","NONSUCH BREWING DUNKEL WEIZEN","$4.10","5.40%","A dark wheat beer brewed with Cacao husks, the Dunkelweizen features sweet maltiness and a chocolate character.","Item # 35814       | UPC 628110283467 | 473 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Ale > Wheat","null","16 IBU","Nonsuch Brewing Co"
"1605381851-267","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Daura Damm Lager

          $2.77
          28161
          330 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/daura-damm-lager/330-ml-0","Daura Damm Lager","$2.77","5.40%","It has an enveloping bouquet of fresh spices. The notes of roasted malt round off its personality. Its full carbonation makes it smooth in the mouth and fills the palate with notes of roasted cereals. Its sharp acid flavour makes it taste exceedingly fresh. The final bitterness in the mouth gives it a long aftertaste.","Item # 28161       | UPC 050648262933 | 330 ml","null","Spain","5","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=4","Beer > Lager > Pale","null","Crafted to remove Gluten","S. A. Damm"
"1605381668-199","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Brock St Brewing Company - Brock St Bohemian Pilsner

          $2.73
          25910
          473 ml


      Clearance








      Balanced







      Malty","https://www.liquormarts.ca/product/brock-st-brewing-company-brock-st-bohemian-pilsner/473-ml","Brock St Brewing Company - Brock St Bohemian Pilsner","REG. $3.11
          $2.73
          SAVE $0.38","5.20%","A soft breadiness and slight sweetness give way to a floral and spicy aroma drom the Magnum and Saaz Hops. Crisp, clean finish. Bronze medal winner 2017 Ontario Brewing Awards in the Bohemian Pilsner Category.","Item # 25910       | UPC 628451660088 | 473 ml","null","Canada","6","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=5","Beer > Lager > Pilsner","REG. $3.11","IBU 30","Brock Street Brewing"
"1605382588-490","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","MICHELOB ULTRA
          Out of Stock

          $57.98
          33463
          30 x 355 ml



      Light







      Malty","https://www.liquormarts.ca/product/michelob-ultra/30-x-355-ml","MICHELOB ULTRA","$57.98","4.00%","null","Item # 33463       | UPC 062067380952 | 30 x 355 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Lager > Light","null","Light golden in colour with subtle notes of citrus, this low-carb light lager is made from two-row Munich malts and European select hops for a clean, refreshing body and finish.","Michelob Brewing"
"1605383326-728","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","VESSEL BEER CAPICHE CAPPUCCINO MILKSHAKE STOUT

          $4.40
          35625
          473 ml



      Balanced







      Roasted","https://www.liquormarts.ca/product/vessel-beer-capiche-cappuccino-milkshake-stout/473-ml","VESSEL BEER CAPICHE CAPPUCCINO MILKSHAKE STOUT","$4.40","5.60%","A Creamy, smooth coffee flavoured stout with chocolate and coffee notes.","Item # 35625       | UPC 628110283061 | 473 ml","null","Canada","","","Beer > Ale > Stout","null","12 IBU","Nonsuch Brewing Co"
